Entry	Length	EC number	Keywords	Gene Ontology (molecular function)
A0A067YMX8	288	2.4.1.207	Apoplast;Cell wall;Cell wall biogenesis/degradation;Disulfide bond;Fruit ripening;Glycoprotein;Glycosidase;Glycosyltransferase;Hydrolase;Secreted;Signal;Transferase	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; polysaccharide binding [GO:0030247]; xyloglucan:xyloglucosyl transferase activity [GO:0016762]
A0A068J840	475	2.4.1.363	Glycosyltransferase;Isoprene biosynthesis;Transferase	UDP-glucosyltransferase activity [GO:0035251]
A0A068Q5Q5	651	4.-.-.-	3D-structure;Degradation of host capsule during virus entry;Degradation of host cell envelope components during virus entry;Host-virus interaction;Lyase;Reference proteome;Viral attachment to host adhesion receptor;Viral attachment to host cell;Viral tail protein;Virion;Virus entry into host cell	lyase activity [GO:0016829]
A0A072ULZ1	351	1.7.2.-	Alternative splicing;Cytoplasm;Heme;Iron;Metal-binding;Nodulation;Nucleus;Oxidoreductase;Oxygen transport;Reference proteome;Repeat;Transport	heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]
A0A072UR65	379	3.2.1.14	Carbohydrate metabolism;Chitin degradation;Glycoprotein;Glycosidase;Hydrolase;Plant defense;Polysaccharide degradation;Reference proteome;Signal	chitin binding [GO:0008061]; chitinase activity [GO:0004568]; endochitinase activity [GO:0008843]
A0A072VDF2	342	1.2.1.-; 1.2.1.44	Cytoplasm;Disulfide bond;NADP;Oxidoreductase;Reference proteome	cinnamoyl-CoA reductase activity [GO:0016621]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]
A0A072VIM5	492		ANK repeat;Cell membrane;Cytoplasm;Membrane;Metal-binding;Nodulation;Nucleus;Reference proteome;Repeat;Ubl conjugation pathway;Zinc;Zinc-finger	transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]
A0A075BSX9	437	1.5.3.5	3D-structure;Alkaloid metabolism;FAD;Flavoprotein;Nucleotide-binding;Oxidoreductase;Plasmid	(S)-6-hydroxynicotine oxidase activity [GO:0018531]; nucleotide binding [GO:0000166]
A0A075D5I4	290	2.1.1.-	Alkaloid metabolism;Membrane;Methyltransferase;S-adenosyl-L-methionine;Transferase;Vacuole	N-methyltransferase activity [GO:0008170]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
A0A075D657	322	2.1.1.-	Alkaloid metabolism;Cytoplasm;Methyltransferase;S-adenosyl-L-methionine;Transferase	N-methyltransferase activity [GO:0008170]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
A0A075F7E9	813	2.7.11.1	ATP-binding;Disulfide bond;EGF-like domain;Glycoprotein;Kinase;Lectin;Membrane;Nucleotide-binding;Plant defense;Receptor;Reference proteome;Serine/threonine-protein kinase;Signal;Transferase;Transmembrane;Transmembrane helix	ATP binding [GO:0005524]; carbohydrate binding [GO:0030246]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
A0A075F932	421		Calcium;Cytoplasm;Cytoplasmic vesicle;Differentiation;Glycoprotein;Lipoprotein;Membrane;Metal-binding;Palmitate;Reference proteome;Repeat;Synapse;Transmembrane;Transmembrane helix	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; clathrin binding [GO:0030276]; phosphatidylserine binding [GO:0001786]; phospholipid binding [GO:0005543]; SNARE binding [GO:0000149]
A0A075FBG7	580	4.2.3.131; 4.2.3.189; 4.2.3.190	Chloroplast;Lyase;Magnesium;Metal-binding;Plastid;Transit peptide	9,13-epoxylabda-14-ene synthase activity [GO:0106239]; magnesium ion binding [GO:0000287]; manoyl oxide synthase activity [GO:0062206]; miltiradiene synthase activity [GO:0062205]; terpene synthase activity [GO:0010333]
A0A075QQ08	222		Cytoplasm;Disulfide bond;Initiation factor;Nucleus;Plant defense;Protein biosynthesis;Reference proteome;RNA-binding;Translation regulation	RNA 7-methylguanosine cap binding [GO:0000340]; RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]
A0A075TJ05	480	3.4.17.-	Carboxypeptidase;Hydrolase;Metal-binding;Metalloprotease;Protease;Secreted;Zinc	carboxypeptidase activity [GO:0004180]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]
A0A075TMP0	340	1.1.1.-	Cytoplasm;Metal-binding;NAD;NADP;Oxidoreductase;Reference proteome;Zinc	alcohol dehydrogenase (NAD+) activity [GO:0004022]; alcohol dehydrogenase (NADP+) activity [GO:0008106]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; polyketide synthase activity [GO:0016218]
A0A075TMP8	526	1.-.-.-	Endoplasmic reticulum;Glycoprotein;Iron;Membrane;Metal-binding;Monooxygenase;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; polyketide synthase activity [GO:0016218]
A0A075TR33	571	1.-.-.-	FAD;Flavoprotein;Glycoprotein;Oxidoreductase;Reference proteome;Signal;Vacuole	FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]; polyketide synthase activity [GO:0016218]
A0A075TR41	326	1.-.-.-	Cytoplasmic vesicle;Oxidoreductase;Reference proteome;Vacuole	oxidoreductase activity [GO:0016491]; polyketide synthase activity [GO:0016218]
A0A075TRB3	259	1.1.1.-	Cytoplasm;NADP;Oxidoreductase;Reference proteome	oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; polyketide synthase activity [GO:0016218]; quinone binding [GO:0048038]
A0A075TRK9	628	1.1.-.-	3D-structure;Cell wall;Cytoplasm;FAD;Flavoprotein;Glycoprotein;Oxidoreductase;Reference proteome;Secreted;Signal;Vacuole	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; polyketide synthase activity [GO:0016218]
A0A075TRL5	524	1.-.-.-	Endoplasmic reticulum;Glycoprotein;Iron;Membrane;Metal-binding;Monooxygenase;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; polyketide synthase activity [GO:0016218]
A0A075TXZ1	324	4.1.1.52	Cytoplasm;Decarboxylase;Hydrolase;Lyase;Metal-binding;Reference proteome;Zinc	6-methylsalicylate decarboxylase activity [GO:0047596]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; polyketide synthase activity [GO:0016218]
A0A076FFM5	523	1.14.15.-	2Fe-2S;Chloroplast;Cytoplasm;Iron;Iron-sulfur;Membrane;Metal-binding;Oxidoreductase;Plastid;Transit peptide;Transmembrane;Transmembrane helix	2 iron, 2 sulfur cluster binding [GO:0051537]; chlorophyllide a oxygenase activity [GO:0010277]; metal ion binding [GO:0046872]; monooxygenase activity [GO:0004497]
A0A078CGE6	1299	2.7.11.1	ATP-binding;Cell cycle;Cell division;Cell membrane;Cytoplasm;Cytoskeleton;Kinase;Membrane;Nucleotide-binding;Nucleus;Phosphoprotein;Repeat;Serine/threonine-protein kinase;Transferase	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
A0A080WMA9	362	1.2.1.11	3D-structure;Amino-acid biosynthesis;Cytoplasm;Methionine biosynthesis;NADP;Nucleus;Oxidoreductase;Reference proteome;Threonine biosynthesis	aspartate-semialdehyde dehydrogenase activity [GO:0004073]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; protein dimerization activity [GO:0046983]
A0A087WPF7	1261		Alternative splicing;Cell projection;Cytoplasm;Cytoskeleton;Nucleus;Phosphoprotein;Reference proteome;Transcription;Transcription regulation	chromatin binding [GO:0003682]
A0A087X1C5	515	1.14.14.1	Cytoplasm;Glycoprotein;Heme;Iron;Membrane;Metal-binding;Mitochondrion;Monooxygenase;Oxidoreductase;Reference proteome;Transmembrane;Transmembrane helix	aromatase activity [GO:0070330]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]
A0A088MIT0	134		Amphibian defense peptide;Bradykinin receptor impairing toxin;Cleavage on pair of basic residues;Direct protein sequencing;G-protein coupled receptor impairing toxin;Hydroxylation;Secreted;Signal;Toxin	toxin activity [GO:0090729]
A0A088MLT8	559		Alternative splicing;Cell projection;Coiled coil;Cytoplasm;Reference proteome	ankyrin binding [GO:0030506]; calmodulin binding [GO:0005516]; transmembrane transporter binding [GO:0044325]
A0A095AMW7	542	4.1.1.101	Lyase;Manganese;Metal-binding;NAD	carboxy-lyase activity [GO:0016831]; malic enzyme activity [GO:0004470]; malolactic enzyme activity [GO:0043883]; manganese ion binding [GO:0030145]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]
A0A095C6S0	392	1.4.3.3	FAD;Flavoprotein;Oxidoreductase;Peroxisome	D-amino-acid oxidase activity [GO:0003884]; FAD binding [GO:0071949]
A0A096MJN4	459		Cell cycle;Cell division;Cell projection;Cilium;Coiled coil;Cytoplasm;Cytoplasmic vesicle;Differentiation;Flagellum;GTP-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Spermatogenesis	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; molecular adaptor activity [GO:0060090]
A0A096MJY4	473		Acetylation;Activator;Apoptosis;Cytoplasm;Developmental protein;Differentiation;DNA-binding;Isopeptide bond;Neurogenesis;Nucleus;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Ubl conjugation	chromatin binding [GO:0003682]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; histone deacetylase binding [GO:0042826]; HMG box domain binding [GO:0071837]; minor groove of adenine-thymine-rich DNA binding [GO:0003680]; protein heterodimerization activity [GO:0046982]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]
A0A096MK47	966		Alternative splicing;Cell membrane;Cytoplasm;Membrane;Nucleus;Phosphoprotein;Reference proteome	lamin binding [GO:0005521]; transcription corepressor activity [GO:0003714]
A0A096P8D3	470	1.1.1.41	3D-structure;Magnesium;Manganese;Metal-binding;Mitochondrion;NAD;Oxidoreductase;Reference proteome;Transit peptide;Tricarboxylic acid cycle	isocitrate dehydrogenase (NAD+) activity [GO:0004449]; isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]
A0A097PTA8	184		3D-structure;Antibiotic;Antimicrobial;Cleavage on pair of basic residues;Defensin;Direct protein sequencing;Disulfide bond;Lipid-binding;Membrane;Pyrrolidone carboxylic acid;Secreted;Signal;Target cell membrane;Target membrane	lipid binding [GO:0008289]
A0A0A0LLY1	160		Plant defense;Reference proteome;RNA-binding;Secreted	miRNA binding [GO:0035198]; mRNA binding [GO:0003729]; single-stranded RNA binding [GO:0003727]; siRNA binding [GO:0035197]
A0A0A1C3I2	573	1.1.1.34	Chloroplast;Endoplasmic reticulum;Glycoprotein;Isoprene biosynthesis;Membrane;NADP;Oxidoreductase;Peroxisome;Plastid;Transmembrane;Transmembrane helix	hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]
A0A0A1C930	594	1.1.1.34	Chloroplast;Endoplasmic reticulum;Glycoprotein;Isoprene biosynthesis;Membrane;NADP;Oxidoreductase;Peroxisome;Plastid;Transmembrane;Transmembrane helix	hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]
A0A0A1H8I4	262	5.3.3.7	Direct protein sequencing;Isomerase;Signal	aconitate delta-isomerase activity [GO:0047614]; molybdate ion binding [GO:0030973]
A0A0A1HA03	457	2.4.1.360	3D-structure;Direct protein sequencing;Glycosyltransferase;Transferase	2-hydroxyflavanone C-glucosyltransferase activity [GO:0120514]; UDP-glucosyltransferase activity [GO:0035251]
A0A0A1I6E7	74		Amidation;Antibiotic;Antimicrobial;Cleavage on pair of basic residues;Fungicide;Membrane;Secreted;Signal;Target cell membrane;Target membrane	
A0A0A1I6N9	74		Amidation;Antibiotic;Antimicrobial;Cleavage on pair of basic residues;Fungicide;Membrane;Secreted;Signal;Target cell membrane;Target membrane	
A0A0A6ZFY4	442	2.4.1.365	3D-structure;Glycosyltransferase;Isoprene biosynthesis;Transferase	UDP-glycosyltransferase activity [GO:0008194]
A0A0A7EPL0	847	2.3.2.-	Alternative splicing;Ligase;Metal-binding;Nucleus;Reference proteome;Repeat;Transferase;Ubl conjugation pathway;Zinc;Zinc-finger	ligase activity [GO:0016874]; SUMO transferase activity [GO:0019789]; zinc ion binding [GO:0008270]
A0A0A7EQR3	474	3.1.1.117	3D-structure;Disulfide bond;Glycoprotein;Hydrolase;Lignin degradation;Secreted;Serine esterase;Signal	carboxylic ester hydrolase activity [GO:0052689]; cellulose binding [GO:0030248]
A0A0A7GEY4	319	2.5.1.-; 2.5.1.1; 2.5.1.10; 2.5.1.29	3D-structure;Isoprene biosynthesis;Magnesium;Metal-binding;Transferase	(2E,6E)-farnesyl diphosphate synthase activity [GO:0004337]; dimethylallyltranstransferase activity [GO:0004161]; geranylgeranyl diphosphate synthase activity [GO:0004311]; metal ion binding [GO:0046872]
A0A0A7HFE1	758	2.7.7.-; 3.1.-.-	3D-structure;Antiviral defense;ATP-binding;Endonuclease;Exonuclease;Hydrolase;Nuclease;Nucleotide-binding;RNA-binding;Transferase	ATP binding [GO:0005524]; endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]; RNA binding [GO:0003723]; transferase activity [GO:0016740]
A0A0A7HIF0	220	3.1.-.-	3D-structure;Antiviral defense;Endonuclease;Hydrolase;Nuclease;RNA-binding	endonuclease activity [GO:0004519]; RNA binding [GO:0003723]
A0A0A7HIX6	428	3.1.-.-	Antiviral defense;Endonuclease;Hydrolase;Nuclease;Nucleotide-binding;RNA-binding	endonuclease activity [GO:0004519]; nucleotide binding [GO:0000166]; RNA binding [GO:0003723]
A0A0A8IDB7	726	1.1.99.-	Calcium;Disulfide bond;Glycoprotein;Heme;Iron;Metal-binding;Oxidoreductase;Secreted;Signal	cellulose binding [GO:0030248]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
A0A0B0QJR1	147	3.1.27.-	3D-structure;Endonuclease;Hydrolase;Nuclease;Nucleotide-binding;Phosphoprotein;Toxin-antitoxin system	endonuclease activity [GO:0004519]; nucleotide binding [GO:0000166]; RNA nuclease activity [GO:0004540]
A0A0B4J1F4	415		Alternative splicing;Cell membrane;Cytoplasmic vesicle;Endosome;Membrane;Reference proteome;Repeat	ubiquitin-like ligase-substrate adaptor activity [GO:1990756]
A0A0B4J1G0	249		Cell membrane;Disulfide bond;Glycoprotein;IgE-binding protein;IgG-binding protein;Immunity;Immunoglobulin domain;Membrane;Phosphoprotein;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	IgE binding [GO:0019863]; IgE receptor activity [GO:0019767]; IgG binding [GO:0019864]; IgG receptor activity [GO:0019770]; immune receptor activity [GO:0140375]
A0A0B4J1N3	78		Antibiotic;Antimicrobial;Chemotaxis;Cytokine;Disulfide bond;Reference proteome;Secreted;Signal	chemokine activity [GO:0008009]; G protein-coupled receptor binding [GO:0001664]; receptor ligand activity [GO:0048018]
A0A0B4J2F0	54		Direct protein sequencing;Membrane;Mitochondrion;Mitochondrion outer membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Unfolded protein response	
A0A0B4K692	774	3.4.24.11	Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Hydrolase;Membrane;Metal-binding;Metalloprotease;Protease;Reference proteome;Secreted;Signal-anchor;Transmembrane;Transmembrane helix;Zinc	endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]
A0A0B4KEE4	965		Coiled coil;Cytoplasm;Cytoskeleton;Membrane;Reference proteome;Transmembrane;Transmembrane helix	protein-membrane adaptor activity [GO:0043495]
A0A0B4KGY6	780		Alternative splicing;Cytoplasm;mRNA processing;mRNA splicing;Nucleus;Reference proteome;Repeat;RNA-binding	mRNA binding [GO:0003729]; pre-mRNA intronic binding [GO:0097157]
A0A0B4LFY9	343		Antiviral defense;Endoplasmic reticulum;Glycoprotein;Immunity;Innate immunity;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix	2',3'-cyclic GMP-AMP binding [GO:0061507]; 3',2'-cyclic GMP-AMP binding [GO:0140704]; cyclic-di-GMP binding [GO:0035438]
A0A0B4U9L8	614	3.4.24.-	Calcium;Cell adhesion impairing toxin;Direct protein sequencing;Disulfide bond;Fibrinogenolytic toxin;Glycoprotein;Hemostasis impairing toxin;Hydrolase;Metal-binding;Metalloprotease;Protease;Pyrrolidone carboxylic acid;Secreted;Signal;Toxin;Zinc;Zymogen	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; toxin activity [GO:0090729]; zinc ion binding [GO:0008270]
A0A0B5A051	414	2.5.1.136	Chloroplast;Membrane;Plastid;Transferase;Transit peptide;Transmembrane;Transmembrane helix	prenyltransferase activity [GO:0004659]
A0A0B5A886	1073		3D-structure;Disulfide bond;Fusion of virus membrane with host endosomal membrane;Fusion of virus membrane with host membrane;Glycoprotein;Host endoplasmic reticulum;Host Golgi apparatus;Host membrane;Host-virus interaction;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Transmembrane;Transmembrane helix;Viral attachment to host cell;Viral attachment to host entry receptor;Viral penetration into host cytoplasm;Virion;Virus entry into host cell	
A0A0B5A8P4	113		Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin	hormone activity [GO:0005179]; toxin activity [GO:0090729]
A0A0B5AC19	293		Host cytoplasm;Host cytoplasmic vesicle;Host G2/M cell cycle arrest by virus;Host-virus interaction;Inhibition of host innate immune response by virus;Inhibition of host interferon signaling pathway by virus;Inhibition of host RIG-I by virus;Inhibition of host RLR pathway by virus;Inhibition of host STAT2 by virus;Inhibition of host TBK1 by virus;Inhibition of host TLR pathway by virus;Interferon antiviral system evasion;Modulation of host cell cycle by virus;Reference proteome;Viral immunoevasion	
A0A0B5AC95	115		3D-structure;Amidation;Carbohydrate metabolism;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Gamma-carboxyglutamic acid;Glucose metabolism;Hormone;Hydroxylation;Secreted;Signal;Toxin	hormone activity [GO:0005179]; toxin activity [GO:0090729]
A0A0B5JC15	291	3.2.1.8	Carbohydrate metabolism;Glycoprotein;Glycosidase;Hydrolase;Polysaccharide degradation;Secreted;Signal;Xylan degradation	cellulose binding [GO:0030248]; endo-1,4-beta-xylanase activity [GO:0031176]
A0A0B5KYT4	853	1.-.-.-	Endoplasmic reticulum;Heme;Iron;Membrane;Metal-binding;Monooxygenase;Oxidoreductase;Transmembrane;Transmembrane helix	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; polyketide synthase activity [GO:0016218]
A0A0B5L781	398	2.1.1.-	3D-structure;Cytoplasm;Methyltransferase;S-adenosyl-L-methionine;Transferase	methyltransferase activity [GO:0008168]; O-methyltransferase activity [GO:0008171]; polyketide synthase activity [GO:0016218]
A0A0B5LB55	433	3.1.1.-	3D-structure;Hydrolase;Peroxisome	fatty acyl-CoA hydrolase activity [GO:0047617]; hydrolase activity [GO:0016787]; polyketide synthase activity [GO:0016218]
A0A0B6CGH9	372	1.14.13.-	Cytoplasm;Dioxygenase;Iron;Metal-binding;Oxidoreductase	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; metal ion binding [GO:0046872]
A0A0B6VIJ5	477	2.4.1.-	Glycosyltransferase;Transferase	quercetin 3-O-glucosyltransferase activity [GO:0080043]; quercetin 7-O-glucosyltransferase activity [GO:0080044]; UDP-glycosyltransferase activity [GO:0008194]
A0A0B7P3V8	1104	2.7.7.49; 2.7.7.7; 3.1.26.4; 3.4.23.-	Aspartyl protease;ATP-binding;Coiled coil;Cytoplasm;DNA integration;DNA recombination;DNA-binding;DNA-directed DNA polymerase;Endonuclease;Hydrolase;Magnesium;Metal-binding;Nuclease;Nucleotide-binding;Nucleotidyltransferase;Nucleus;Protease;Reference proteome;RNA-binding;RNA-directed DNA polymerase;Transferase;Transposable element;Transposition;Viral release from host cell;Virion maturation;Zinc;Zinc-finger	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; zinc ion binding [GO:0008270]
A0A0B7P9G0	834		3D-structure;CBS domain;Cell membrane;Glycoprotein;Ion transport;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Transport	magnesium ion transmembrane transporter activity [GO:0015095]; transmembrane transporter activity [GO:0022857]
A0A0C1EH92	535	2.4.1.-	Glycoprotein;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix	UDP-glycosyltransferase activity [GO:0008194]
A0A0C3RR82	556	2.1.1.-	Methylation;Methyltransferase;Reference proteome;Repeat;S-adenosyl-L-methionine;Transferase	methyltransferase activity [GO:0008168]
A0A0C3VJP4	495	3.4.16.-	Apoplast;Carboxypeptidase;Disulfide bond;Glycoprotein;Hydrolase;Protease;Reference proteome;Secreted;Signal	serine-type carboxypeptidase activity [GO:0004185]
A0A0C5CJR8	477	3.4.24.-	Calcium;Hydrolase;Metal-binding;Metalloprotease;Protease;Repeat;Secreted;Signal;Zinc	calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
